technical_know_how,personal_traits,social_characteristics,motivating_factors,age,city
Focussed,Psychiatric conditions,"Insufficient social
support",Experimentation,39,Nepalgunj
Well-organized,Immoral/ Unethical,Low self-worth,"Religious
fundamentalism",64,Kathmandu
Focussed,Loner,Reinforcement available,Monetary Gain,59,Mahendranagar
Focussed,Immoral/ Unethical,Need to outsmart others,Curiosity,54,Janakpur
Resourceful,"Psychologically
Deviant",Social dissatisfaction,Political support,23,Dhangadi
Well-trained,Insensitive,Anti-state,Need to Control others,20,Hetauda
Bully,Coercive,Rationalization,Need to Control others,36,Lalitpur
Sharp (intelligent),Emotional,Marginalised,"Greed (easy, quick money)",60,Dharan
Resourceful,Emotional,Reinforcement available,Need to Control others,42,Janakpur
Well trained,Control freak,Lack Social skills,Intolerance,30,Birgunj
Focussed,Impatient,Social dissatisfaction,Risk tolerance,48,Birgunj
Well-trained,Passionate,Social dissatisfaction,Disregard for law,30,Tulsipur
Skilful,Identity crisis,Intolerance to diversity of opinion,Plain boredom,22,Butwal
Well-networked,Immoral/ Unethical,Broken homes/families,"Religious
fundamentalism",52,Dhangadi
Focussed,Insensitive,Social dissatisfaction,No fear of punishment,47,Mahendranagar
Smart,Risk-taker,Anti-establishment,Revenge,23,Janakpur
Well-trained,Risk-taker,"Insufficient social
support",Curiosity,44,Jitpur
Well-organized,Control freak,Low self-worth,Intolerance,44,Pokhara
Strategic planners,Immoral/ Unethical,Social dissatisfaction,Risk tolerance,58,Lalitpur
Sharp (intelligent),Secretive,Marginalised,Need to Control others,39,Jitpur
Well trained,Insensitive,Brain-washed,Intolerance,55,Jitpur
Opportunists,Immoral/ Unethical,Lack Social skills,"Greed (easy, quick money)",20,Birgunj
Goal oriented,Incited,Rationalization,Plain boredom,60,Biratnagar
Sharp (intelligent),Secretive,Anti-establishment,Curiosity,64,Dharan
Well-trained,Aggressive,Anti-state,Political beliefs,58,Janakpur
Opportunists,Passionate,Unlawful,Need to Control others,29,Kathmandu
Skilful,"Psychologically
Deviant",Need to outsmart others,Disregard for law,50,Pokhara
Strategic planners,Control freak,Brain-washed,Intolerance,27,Pokhara
Creative,Secretive,Anti-social,Revenge,19,Itahari
Opportunists,Gullible,Socially inept,Monetary Gain,39,Biratnagar
Smart,Vengeful,Rationalization,Disregard for law,57,Lalitpur
Well-trained,Coercive,Brain-washed,No fear of punishment,50,Janakpur
Focussed,Emotional,Brain-washed,Intolerance,59,Kathmandu
Strategic planners,Insensitive,Intolerance to diversity of opinion,Plain boredom,28,Tulsipur
Creative,Control freak,Social dissatisfaction,"Concealed
existence",28,Kalaiya
Well-trained,Identity crisis,Inferiority complex,Revenge,19,Lalitpur
Well-trained,Incited,Misguided,Political beliefs,42,Mahendranagar
Creative,Gullible,Low self-worth,"Enhancing self-
worth",30,Hetauda
Sharp (intelligent),Psychiatric conditions,Rationalization,No fear of punishment,47,Dharan
Well-organized,Strong-willed,Mass-destruction,Curiosity,63,Pokhara
Skilful,Aggressive,Intolerance to diversity of opinion,Emotions,22,Kalaiya
Goal oriented,Inhuman Psyche,Brain-washed,Anger,60,Kalaiya
Well-networked,Immoral/ Unethical,Reinforcement available,Curiosity,63,Janakpur
Well-networked,Incited,Broken homes/families,Monetary Gain,38,Kalaiya
Sharp (intelligent),Coercive,Need to outsmart others,Need to Control others,32,Tulsipur
Resourceful,Coward,Rationalization,Experimentation,20,Itahari
Well-organized,Secretive,Social dissatisfaction,Emotions,35,Biratnagar
Strategic planners,Conviction in Violence,Radical,Political support,33,Dhangadi
Sharp (intelligent),Control freak,Socially inept,Political beliefs,16,Bhaktapur
Smart,Impatient,Need to outsmart others,Revenge,56,Bhaktapur
Strategic planners,Determined,Broken homes/families,Monetary Gain,19,Jitpur
Well-organized,Insensitive,Broken homes/families,Revenge,61,Kalaiya
Smart,Conviction in Violence,Radical,Thrill-seeking,30,Mahendranagar
Strategic planners,Immoral/ Unethical,Anti-social,Emotions,18,Janakpur
Opportunists,Identity crisis,Broken homes/families,Lust,56,Jitpur
Bully,Determined,Rationalization,Anger,38,Dharan
Resourceful,Psychiatric conditions,Inferiority complex,Need to Control others,64,Pokhara
Sharp (intelligent),Strong-willed,Reinforcement available,"Greed (easy, quick money)",40,Nepalgunj
Strategic planners,Inhuman Psyche,Rationalization,Monetary Gain,55,Birgunj
Opportunists,Determined,Unlawful,"Greed (easy, quick money)",27,Mahendranagar
Well-trained,Identity crisis,Socially inept,Lust,30,Mahendranagar
Goal oriented,Loner,Anti-social,Experimentation,55,Dharan
Smart,Secretive,Lack Social skills,Plain boredom,37,Dharan
Creative,Determined,Unlawful,Political beliefs,63,Hetauda
Skilful,Emotional,Lack Social skills,Political beliefs,50,Birgunj
Focussed,Gullible,Marginalised,Political beliefs,38,Janakpur
Skilful,Control freak,"Insufficient social
support","Enhancing self-
worth",42,Dharan
Resourceful,Inhuman Psyche,Brain-washed,Political support,61,Biratnagar
Smart,Selfish,Marginalised,Political beliefs,63,Birgunj
Sharp (intelligent),Control freak,Anti-social,Thrill-seeking,39,Hetauda
Strategic planners,Passionate,Inferiority complex,"Enhancing self-
worth",59,Hetauda
Well trained,Insensitive,Anti-establishment,Emotions,48,Nepalgunj
Well-networked,Identity crisis,Inferiority complex,No fear of punishment,40,Kathmandu
Well trained,Impatient,Lack Social skills,Plain boredom,22,Kathmandu
Well trained,Psychiatric conditions,Unlawful,No fear of punishment,31,Hetauda
Sharp (intelligent),"Psychologically
Deviant",Rebellious,Intolerance,20,Janakpur
Opportunists,Identity crisis,Radical,Thrill-seeking,56,Jitpur
Strategic planners,Inhuman Psyche,Brain-washed,"Religious
fundamentalism",21,Janakpur
Well-organized,Incited,Broken homes/families,Anger,58,Tulsipur
Goal oriented,Strong-willed,Unlawful,Thrill-seeking,48,Dharan
Resourceful,Control freak,"Insufficient social
support","Greed (easy, quick money)",62,Bharatpur
Bully,Psychiatric conditions,Broken homes/families,"Enhancing self-
worth",25,Jitpur
Well-organized,Control freak,Broken homes/families,Emotions,31,Kathmandu
Strategic planners,Emotional,Broken homes/families,Anger,17,Tulsipur
Creative,Vengeful,Intolerance to diversity of opinion,Revenge,56,Bhaktapur
Well-trained,Chaotic state of mind,Rebellious,Need to Control others,27,Ghorahi
Bully,Conviction in Violence,Need to outsmart others,"Greed (easy, quick money)",26,Bhaktapur
Well-networked,Loner,Social dissatisfaction,"Greed (easy, quick money)",22,Bhaktapur
Resourceful,Coercive,Reinforcement available,"Concealed
existence",52,Butwal
Strategic planners,Vengeful,"Insufficient social
support",Political support,17,Nepalgunj
Sharp (intelligent),Risk-taker,Marginalised,"Enhancing self-
worth",39,Dharan
Strategic planners,Determined,Rebellious,Manipulate others,16,Lalitpur
Resourceful,Determined,Low self-worth,Anger,41,Ghorahi
Smart,Vengeful,Social dissatisfaction,"Greed (easy, quick money)",60,Mahendranagar
Strategic planners,Loner,Low self-worth,Lust,38,Jitpur
Well-networked,"Psychologically
Deviant",Marginalised,Manipulate others,16,Itahari
Well-networked,Chaotic state of mind,Broken homes/families,Manipulate others,35,Butwal
Well-organized,Strong-willed,Need to outsmart others,"Religious
fundamentalism",52,Kalaiya
Smart,Vengeful,Reinforcement available,Anger,46,Pokhara
Well-trained,Impatient,Brain-washed,Need to Control others,53,Jitpur
Well-trained,Risk-taker,Misguided,Political support,23,Mahendranagar
Goal oriented,"Psychologically
Deviant",Low self-worth,Revenge,45,Birgunj
Strategic planners,Strong-willed,Reinforcement available,Need to Control others,26,Hetauda
Well-organized,Insensitive,Intolerance to diversity of opinion,Thrill-seeking,27,Hetauda
Skilful,Coercive,Mass-destruction,Lust,65,Kathmandu
Creative,Strong-willed,Mass-destruction,Need to Control others,26,Bhaktapur
Skilful,Impatient,Socially inept,Lust,46,Kathmandu
Well-trained,Insensitive,Inferiority complex,Lust,41,Mahendranagar
Focussed,Immoral/ Unethical,Inferiority complex,Lust,44,Butwal
Well-networked,Determined,Need to outsmart others,Manipulate others,36,Kalaiya
Well-trained,Coercive,Brain-washed,Risk tolerance,64,Pokhara
Well trained,Impatient,Rationalization,Curiosity,55,Pokhara
Creative,Conviction in Violence,Mass-destruction,Manipulate others,40,Ghorahi
Focussed,"Psychologically
Deviant","Insufficient social
support",Plain boredom,16,Nepalgunj
Well-organized,Identity crisis,Reinforcement available,"Concealed
existence",39,Biratnagar
Well-organized,Impatient,Anti-state,Political beliefs,41,Dharan
Creative,Strong-willed,Low self-worth,Manipulate others,18,Bhaktapur
Skilful,Selfish,Mass-destruction,"Concealed
existence",19,Ghorahi
Well-trained,Aggressive,Mass-destruction,"Religious
fundamentalism",28,Itahari
Resourceful,Risk-taker,Brain-washed,Curiosity,57,Ghorahi
Smart,Passionate,Mass-destruction,Curiosity,35,Jitpur
Bully,Impatient,Social dissatisfaction,Thrill-seeking,26,Biratnagar
Well-networked,Insensitive,Rationalization,"Religious
fundamentalism",38,Hetauda
Opportunists,Impatient,Broken homes/families,Political beliefs,31,Janakpur
Well-trained,Determined,Rationalization,Political support,40,Pokhara
Creative,Coercive,Socially inept,Lust,52,Kalaiya
Creative,Inhuman Psyche,"Insufficient social
support",Risk tolerance,57,Dhangadi
Well trained,Impatient,Rebellious,Curiosity,47,Lalitpur
Well trained,Passionate,Intolerance to diversity of opinion,Need to Control others,48,Biratnagar
Well-networked,Coercive,Lack Social skills,Risk tolerance,45,Janakpur
Bully,Secretive,Need to outsmart others,Intolerance,60,Mahendranagar
Skilful,"Psychologically
Deviant",Brain-washed,Anger,29,Kathmandu
Creative,Selfish,Low self-worth,Intolerance,16,Ghorahi
Strategic planners,Selfish,Low self-worth,Intolerance,46,Itahari
Well-trained,Control freak,Unlawful,Risk tolerance,17,Itahari
Well-networked,Emotional,Misguided,Risk tolerance,49,Bharatpur
Focussed,Conviction in Violence,Marginalised,No fear of punishment,19,Birgunj
Sharp (intelligent),Vengeful,Anti-state,Anger,24,Dharan
Well-trained,Vengeful,Lack Social skills,Need to Control others,43,Janakpur
Well-trained,Conviction in Violence,Rebellious,Risk tolerance,60,Janakpur
Smart,Secretive,"Insufficient social
support",Emotions,19,Lalitpur
Well-trained,Determined,Lack Social skills,Monetary Gain,63,Jitpur
Creative,Immoral/ Unethical,Anti-establishment,Thrill-seeking,28,Jitpur
Focussed,Loner,Inferiority complex,Risk tolerance,21,Hetauda
Well-trained,"Psychologically
Deviant",Intolerance to diversity of opinion,Need to Control others,43,Ghorahi
Skilful,Gullible,Low self-worth,Monetary Gain,30,Kathmandu
Bully,Identity crisis,Broken homes/families,Experimentation,43,Biratnagar
Well-organized,Determined,Mass-destruction,Experimentation,52,Dharan
Well trained,Control freak,Marginalised,Emotions,22,Bhaktapur
Smart,Secretive,Social dissatisfaction,Political beliefs,53,Bhaktapur
Smart,Gullible,Low self-worth,Intolerance,27,Biratnagar
Opportunists,Strong-willed,Unlawful,Political support,41,Kathmandu
Well-trained,Incited,Lack Social skills,"Enhancing self-
worth",22,Biratnagar
Resourceful,Conviction in Violence,Mass-destruction,"Religious
fundamentalism",45,Mahendranagar
Smart,Inhuman Psyche,Inferiority complex,Risk tolerance,32,Jitpur
Opportunists,Strong-willed,Social dissatisfaction,Lust,46,Nepalgunj
Focussed,"Psychologically
Deviant",Low self-worth,Manipulate others,24,Nepalgunj
Skilful,Identity crisis,Rationalization,"Enhancing self-
worth",54,Ghorahi
Well trained,Secretive,Socially inept,Political support,48,Mahendranagar
Well-organized,Control freak,"Insufficient social
support",Risk tolerance,30,Pokhara
Smart,Emotional,Anti-establishment,Plain boredom,43,Kalaiya
Strategic planners,Incited,Brain-washed,Lust,17,Dhangadi
Well-networked,Identity crisis,Rebellious,Political support,29,Hetauda
Creative,Determined,Mass-destruction,"Religious
fundamentalism",28,Janakpur
Well-networked,Control freak,Brain-washed,"Enhancing self-
worth",59,Birgunj
Well-networked,Determined,Marginalised,Experimentation,61,Nepalgunj
Focussed,"Psychologically
Deviant",Reinforcement available,Plain boredom,27,Birgunj
Well-trained,Conviction in Violence,Unlawful,Manipulate others,35,Mahendranagar
Goal oriented,Immoral/ Unethical,Rationalization,Lust,27,Bharatpur
Well-trained,Conviction in Violence,Intolerance to diversity of opinion,No fear of punishment,29,Birgunj
Sharp (intelligent),Aggressive,Low self-worth,"Enhancing self-
worth",43,Mahendranagar
Well-organized,"Psychologically
Deviant",Social dissatisfaction,"Religious
fundamentalism",17,Hetauda
Well trained,Passionate,Broken homes/families,Curiosity,30,Kathmandu
Bully,Strong-willed,Social dissatisfaction,Thrill-seeking,59,Mahendranagar
Sharp (intelligent),Passionate,Broken homes/families,Curiosity,49,Dhangadi
Well-trained,Immoral/ Unethical,Brain-washed,Monetary Gain,27,Nepalgunj
Bully,Incited,Anti-state,Experimentation,64,Birgunj
Focussed,Conviction in Violence,Intolerance to diversity of opinion,Risk tolerance,58,Kathmandu
Opportunists,Conviction in Violence,Socially inept,Revenge,43,Butwal
Well trained,Insensitive,Rebellious,Curiosity,59,Biratnagar
Well-networked,Chaotic state of mind,Brain-washed,"Enhancing self-
worth",41,Ghorahi
Well trained,"Psychologically
Deviant",Rebellious,Curiosity,57,Kalaiya
Opportunists,"Psychologically
Deviant",Broken homes/families,Disregard for law,27,Tulsipur
Smart,Psychiatric conditions,Unlawful,Political support,49,Hetauda
Goal oriented,Chaotic state of mind,Social dissatisfaction,Thrill-seeking,23,Itahari
Opportunists,Insensitive,Broken homes/families,No fear of punishment,43,Itahari
Well-networked,Loner,Radical,Thrill-seeking,63,Pokhara
Goal oriented,Loner,Anti-state,Emotions,27,Bharatpur
Bully,Incited,Mass-destruction,Political beliefs,56,Bharatpur
Smart,Coward,Need to outsmart others,Anger,32,Jitpur
Focussed,Control freak,Inferiority complex,Anger,19,Lalitpur
Strategic planners,Gullible,Marginalised,Revenge,23,Bhaktapur
Creative,Strong-willed,Marginalised,Manipulate others,58,Dharan
Resourceful,Vengeful,Anti-establishment,Thrill-seeking,60,Mahendranagar
Well-trained,Coward,Unlawful,"Religious
fundamentalism",21,Dhangadi
Bully,Emotional,Anti-social,Experimentation,50,Dharan
Sharp (intelligent),Secretive,Marginalised,Disregard for law,35,Butwal
Well trained,Identity crisis,Lack Social skills,Monetary Gain,61,Mahendranagar
Well trained,Vengeful,Socially inept,Experimentation,40,Kathmandu
Resourceful,Insensitive,Inferiority complex,Political beliefs,42,Dhangadi
Smart,Secretive,Unlawful,Experimentation,28,Butwal
Well-organized,Incited,Mass-destruction,Intolerance,16,Jitpur
Goal oriented,Inhuman Psyche,Intolerance to diversity of opinion,No fear of punishment,65,Dhangadi
Well-organized,Coercive,Broken homes/families,"Concealed
existence",40,Biratnagar
Bully,Immoral/ Unethical,Low self-worth,"Greed (easy, quick money)",18,Biratnagar
Goal oriented,Psychiatric conditions,Unlawful,Emotions,20,Hetauda
Creative,Control freak,Anti-establishment,"Greed (easy, quick money)",61,Mahendranagar
Well-trained,Incited,Lack Social skills,Risk tolerance,62,Kathmandu
Focussed,Coward,Misguided,Thrill-seeking,18,Nepalgunj
Sharp (intelligent),Identity crisis,Lack Social skills,"Religious
fundamentalism",42,Lalitpur
Strategic planners,Selfish,Mass-destruction,Manipulate others,20,Bharatpur
Well-networked,Passionate,Rationalization,No fear of punishment,61,Biratnagar
Well-networked,Risk-taker,Anti-state,Political support,39,Tulsipur
Strategic planners,Coward,Need to outsmart others,"Greed (easy, quick money)",38,Kathmandu
Sharp (intelligent),Gullible,Brain-washed,"Enhancing self-
worth",19,Dhangadi
Smart,Aggressive,Brain-washed,Emotions,65,Kathmandu
Creative,Secretive,Anti-state,Intolerance,57,Mahendranagar
Smart,Determined,Anti-social,Political beliefs,51,Dhangadi
Focussed,Impatient,Rebellious,Political beliefs,25,Mahendranagar
Creative,Insensitive,"Insufficient social
support",Need to Control others,65,Butwal
Creative,Gullible,Rationalization,Revenge,42,Janakpur
Sharp (intelligent),Loner,Radical,Monetary Gain,46,Nepalgunj
Well-trained,Insensitive,Intolerance to diversity of opinion,Political support,17,Kathmandu
Goal oriented,Insensitive,Socially inept,"Concealed
existence",17,Bhaktapur
Resourceful,"Psychologically
Deviant",Rationalization,Political beliefs,52,Bhaktapur
Well-organized,"Psychologically
Deviant",Low self-worth,"Greed (easy, quick money)",34,Jitpur
Bully,Identity crisis,Misguided,"Religious
fundamentalism",26,Tulsipur
